"date","Home_team","Away_team","Half/Home","Half/Away","Full/Home","Full/Away"
"08:46","Manchester Kék","London Ágyúk","1","1","1","2"
"08:46","Wolverhampton","Everton","0","1","2","1"
"08:46","Brentford","Fulham","3","0","3","0"
"08:46","Aston Oroszlán","Newcastle","1","0","3","2"
"08:46","Brighton","Tottenham","0","0","0","0"
"08:46","West Ham","Liverpool","0","3","1","3"
"08:46","Crystal Palace","Nottingham","1","0","1","0"
"08:46","Chelsea","Vörös Ördögök","1","1","3","2"
"08:54","Newcastle","Crystal Palace","3","0","3","0"
"08:54","Liverpool","Brighton","1","0","1","0"
"08:54","Fulham","Wolverhampton","1","1","1","2"
"08:54","London Ágyúk","Chelsea","0","2","0","2"
"08:54","Nottingham","West Ham","1","1","2","3"
"08:54","Tottenham","Manchester Kék","2","0","2","2"
"08:54","Vörös Ördögök","Brentford","0","0","0","1"
"08:54","Everton","Aston Oroszlán","2","0","2","0"
"09:01","Wolverhampton","Vörös Ördögök","0","1","2","2"
"09:01","Nottingham","Liverpool","1","0","1","0"
"09:01","West Ham","Newcastle","0","2","1","4"
"09:01","Manchester Kék","Brighton","1","1","3","1"
"09:01","Crystal Palace","Everton","0","1","1","1"
"09:01","Chelsea","Tottenham","1","0","1","0"
"09:01","Aston Oroszlán","Fulham","2","0","3","0"
"09:01","Brentford","London Ágyúk","0","0","0","0"
"09:08","London Ágyúk","Wolverhampton","0","1","1","3"
"09:08","Brighton","Chelsea","0","0","0","1"
"09:08","Tottenham","Brentford","0","0","1","0"
"09:08","Newcastle","Nottingham","1","1","1","1"
"09:08","Vörös Ördögök","Aston Oroszlán","0","0","2","0"
"09:08","Liverpool","Manchester Kék","2","1","3","1"
"09:08","Everton","West Ham","2","1","3","1"
"09:08","Fulham","Crystal Palace","1","1","2","1"
"09:16","Nottingham","Everton","0","0","0","2"
"09:16","West Ham","Fulham","3","0","5","0"
"09:16","Newcastle","Liverpool","2","2","2","2"
"09:16","Crystal Palace","Vörös Ördögök","0","1","0","2"
"09:16","Brentford","Brighton","1","0","2","0"
"09:16","Aston Oroszlán","London Ágyúk","0","2","2","3"
"09:16","Chelsea","Manchester Kék","0","2","0","3"
"09:16","Wolverhampton","Tottenham","1","0","1","1"
"09:23","Manchester Kék","Brentford","0","0","1","1"
"09:23","Fulham","Nottingham","3","0","5","0"
"09:23","Liverpool","Chelsea","0","1","0","1"
"09:23","Brighton","Wolverhampton","1","1","2","2"
"09:23","London Ágyúk","Crystal Palace","3","0","4","0"
"09:23","Everton","Newcastle","1","0","3","0"
"09:23","Tottenham","Aston Oroszlán","1","0","3","0"
"09:23","Vörös Ördögök","West Ham","4","0","6","0"
"09:30","Everton","Liverpool","0","1","0","1"
"09:30","Nottingham","Vörös Ördögök","0","1","0","1"
"09:30","Wolverhampton","Manchester Kék","3","1","3","3"
"09:30","Brentford","Chelsea","0","1","2","1"
"09:30","West Ham","London Ágyúk","1","0","2","0"
"09:30","Newcastle","Fulham","0","0","0","1"
"09:30","Crystal Palace","Tottenham","0","0","1","0"
"09:30","Aston Oroszlán","Brighton","0","0","0","0"
"09:38","Liverpool","Brentford","0","1","0","1"
"09:38","Brighton","Crystal Palace","0","0","0","1"
"09:38","Manchester Kék","Aston Oroszlán","0","0","0","0"
"09:38","Fulham","Everton","0","0","0","0"
"09:38","Vörös Ördögök","Newcastle","3","1","5","1"
"09:38","Tottenham","West Ham","4","0","4","3"
"09:38","Chelsea","Wolverhampton","1","1","3","1"
"09:38","London Ágyúk","Nottingham","0","1","0","2"
"09:45","Newcastle","London Ágyúk","0","0","0","1"
"09:45","West Ham","Brighton","0","1","1","1"
"09:45","Everton","Vörös Ördögök","1","0","2","0"
"09:45","Fulham","Liverpool","0","0","0","0"
"09:45","Wolverhampton","Brentford","1","0","2","1"
"09:45","Nottingham","Tottenham","0","1","1","2"
"09:45","Aston Oroszlán","Chelsea","0","0","0","2"
"09:45","Crystal Palace","Manchester Kék","0","0","0","0"
"09:52","Brentford","Aston Oroszlán","0","0","1","0"
"09:52","Chelsea","Crystal Palace","1","1","1","1"
"09:52","Vörös Ördögök","Fulham","1","0","2","0"
"09:52","Tottenham","Newcastle","2","0","4","1"
"09:52","Brighton","Nottingham","0","0","0","1"
"09:52","Liverpool","Wolverhampton","0","0","3","0"
"09:52","London Ágyúk","Everton","0","0","1","2"
"09:52","Manchester Kék","West Ham","1","0","1","0"
"10:00","West Ham","Chelsea","0","1","0","3"
"10:00","Nottingham","Manchester Kék","1","0","1","0"
"10:00","Crystal Palace","Brentford","1","0","2","0"
"10:00","Vörös Ördögök","Liverpool","1","1","3","1"
"10:00","Everton","Tottenham","0","0","1","0"
"10:00","Fulham","London Ágyúk","1","0","2","1"
"10:00","Aston Oroszlán","Wolverhampton","0","1","1","2"
"10:00","Newcastle","Brighton","0","0","0","0"
"10:07","Wolverhampton","Crystal Palace","0","0","0","0"
"10:07","London Ágyúk","Vörös Ördögök","0","0","1","0"
"10:07","Tottenham","Fulham","1","0","3","0"
"10:07","Chelsea","Nottingham","2","0","5","0"
"10:07","Brentford","West Ham","1","0","3","0"
"10:07","Manchester Kék","Newcastle","3","0","4","1"
"10:07","Liverpool","Aston Oroszlán","3","0","4","1"
"10:07","Brighton","Everton","0","0","0","0"
"10:14","West Ham","Wolverhampton","1","1","2","2"
"10:14","Fulham","Brighton","1","1","1","2"
"10:14","Newcastle","Chelsea","0","1","0","2"
"10:14","London Ágyúk","Liverpool","2","0","2","0"
"10:14","Crystal Palace","Aston Oroszlán","1","0","2","0"
"10:14","Everton","Manchester Kék","1","0","1","1"
"10:14","Vörös Ördögök","Tottenham","3","1","5","2"
"10:14","Nottingham","Brentford","0","0","1","1"
"10:22","Chelsea","Everton","1","1","1","2"
"10:22","Brighton","Vörös Ördögök","2","2","2","3"
"10:22","Wolverhampton","Nottingham","2","1","4","1"
"10:22","Liverpool","Crystal Palace","0","0","1","1"
"10:22","Tottenham","London Ágyúk","1","0","2","1"
"10:22","Manchester Kék","Fulham","2","0","5","0"
"10:22","Aston Oroszlán","West Ham","0","0","0","0"
"10:22","Brentford","Newcastle","0","1","0","1"
"10:29","London Ágyúk","Brighton","0","0","0","0"
"10:29","Nottingham","Aston Oroszlán","0","1","0","1"
"10:29","Vörös Ördögök","Manchester Kék","1","0","1","1"
"10:29","Everton","Brentford","0","1","1","1"
"10:29","Newcastle","Wolverhampton","2","2","2","2"
"10:29","West Ham","Crystal Palace","0","0","0","1"
"10:29","Tottenham","Liverpool","1","2","1","3"
"10:29","Fulham","Chelsea","0","1","0","2"
"10:36","London Ágyúk","Manchester Kék","3","1","5","1"
"10:36","Everton","Wolverhampton","2","0","4","0"
"10:36","Fulham","Brentford","0","0","0","1"
"10:36","Newcastle","Aston Oroszlán","1","0","1","0"
"10:36","Tottenham","Brighton","3","0","4","1"
"10:36","Liverpool","West Ham","3","0","3","0"
"10:36","Nottingham","Crystal Palace","1","0","2","1"
"10:36","Vörös Ördögök","Chelsea","2","0","2","0"
"10:44","Crystal Palace","Newcastle","1","1","3","1"
"10:44","Brighton","Liverpool","1","1","1","1"
"10:44","Wolverhampton","Fulham","1","1","1","1"
"10:44","Chelsea","London Ágyúk","2","0","2","0"
